var alpha, br prodding

[ 0    , 2.3333333333333335 
[ 100  , 2.0063518402008764 
[ 200  , 2.2525335720992086 
[ 300  , 2.074631632151509 
[ 400  , 2.4003044450490094 
[ 500  , 2.4142315015790734 
[ 600  , 2.236110675585205 
[ 700  , 1.9406799217013417 
[ 800  , 1.7830850840294639 
[ 900  , 1.909538068676515 
[ 1000 , 1.877799141020307 
[ 1100 , 1.7010952662685332 
[ 1200 , 1.6805444018979392 
[ 1300 , 1.7512959577173723 
[ 1400 , 1.8177285494700248 
[ 1500 , 1.8850747244542712 
[ 1600 , 1.9543001767320614 
[ 1700 , 2.015775768970799 
[ 1800 , 2.070417030504741 
[ 1900 , 2.1184748786347725 
[ 2000 , 2.1604053304397826 
[ 2100 , 2.1971090466788517 
[ 2200 , 2.229162609278119 
[ 2300 , 2.25718890014281 
[ 2400 , 2.281494348526798 
[ 2500 , 2.302344209844959 
[ 2600 , 2.3197998162848887 
[ 2700 , 2.333857662527262 
[ 2800 , 2.343806445751683 
[ 2900 , 2.3482551605576303 
[ 3000 , 2.337998488157927 
[ 3100 , 2.2657647430634476 
[ 3200 , 2.1949817145331103 
[ 3300 , 2.1246242964916306 
[ 3400 , 2.1150283888301917 
[ 3500 , 2.141018407371119 
[ 3600 , 2.1648723810523123 
[ 3700 , 2.1874372991446793 
[ 3800 , 2.208814902420779 
[ 3900 , 2.215534790404517 
[ 4000 , 2.21486919065475 
[ 4100 , 2.213624028984434 
[ 4200 , 2.214791004372804 
[ 4300 , 2.215300257786436 
[ 4400 , 2.212814568055361 
[ 4500 , 2.2078736009216526 
[ 4600 , 2.2008909660459333 
[ 4700 , 2.192184753253467 
[ 4800 , 2.1820010169650277 
[ 4900 , 2.1705260415664562 
[ 5000 , 2.157920837973002 
[ 5100 , 2.144299583949402 
[ 5200 , 2.129740789475181 
[ 5300 , 2.114289842606605 
[ 5400 , 2.0980296046707108 
[ 5500 , 2.0809693447300077 
[ 5600 , 2.0631085577851818 
[ 5700 , 2.044453463619362 
[ 5800 , 2.0249704044080263 
[ 5900 , 2.004592321954155 
[ 6000 , 1.983238059199167 
[ 6100 , 1.9608006464474053 
[ 6200 , 1.937063888799713 
[ 6300 , 1.9118180272821772 
[ 6400 , 1.8857617245904248 
[ 6500 , 1.8602882246234742 
[ 6600 , 1.8353666546761425 
[ 6700 , 1.8109840033749074 
[ 6800 , 1.7870892055146808 
[ 6900 , 1.7636642171788535 
[ 7000 , 1.74067199157665 
[ 7100 , 1.7180913632380095 
[ 7200 , 1.6958758467792494 
[ 7300 , 1.6740095658012542 
[ 7400 , 1.6524614100475152 
[ 7500 , 1.6312008913158025 
[ 7600 , 1.6101796014736889 
[ 7700 , 1.5894113605052067 
